m BLU,sigmam BLU,m ROSSO,sigmam ROSSO,m + 134g,sigmam1,m +  253g,sigmam2
0.253,0.0021,0.252,0.0008,0.394,0.00,0.517,0.0014
0.248,0.0008,0.254,0.0009,0.392,0.00,0.511,0.0014
0.247,0.0008,0.256,0.0013,0.389,0.00,0.513,0.0012
0.256,0.0019,0.252,0.0010,0.391,0.00,0.511,0.0015
0.254,0.0035,0.254,0.0008,0.390,0.00,0.518,0.0015
0.252,0.0013,0.253,0.0012,0.396,0.00,0.513,0.0016
0.247,0.0009,0.254,0.0010,0.394,0.00,0.514,0.0017
0.246,0.0006,0.255,0.0009,0.391,0.00,0.511,0.0021
0.246,0.0011,0.254,0.0011,0.390,0.00,0.515,0.0024
0.248,0.0010,0.252,0.0009,0.392,0.00,0.509,0.0018
0.246,0.0007,0.250,0.0008,0.394,0.00,0.516,0.0011
