p1,p2,p3,p4,R
100.66,100.32,100.48,100.12,50
100.78,100.18,100.43,100.13,50
100.75,100.24,100.47,100.12,50
100.82,100.26,100.45,100.13,50
100.79,100.25,100.48,100.13,50
100.99,100.44,100.73,100.17,65
101.18,100.45,100.82,100.19,65
101.23,100.45,100.82,100.20,65
100.93,100.36,100.77,100.15,65
101.01,100.37,100.68,100.16,65
101.88,100.79,101.36,100.32,80
101.86,100.74,101.33,100.30,80
101.73,100.69,101.23,100.28,80
101.53,100.65,101.12,100.25,80
101.88,100.74,101.33,100.30,80
102.65,101.19,102.03,100.45,95
103.10,101.36,102.35,100.51,95
103.30,101.45,102.51,100.55,95
102.40,101.13,101.89,100.40,95
102.91,101.31,102.22,100.48,95
102.87,101.35,102.25,100.47,95
102.77,101.32,102.20,100.46,95
103.44,101.70,102.78,100.59,110
103.90,101.76,103.01,100.66,110
104.21,101.95,103.32,100.71,110
104.42,102.04,103.49,100.76,110
104.25,101.95,103.34,100.72,110
104.61,102.20,103.73,100.82,125
104.59,102.18,103.65,100.78,125
105.24,102.52,104.24,100.93,125
104.62,102.24,103.73,100.80,125
104.89,102.31,103.91,100.85,125
